pid,label,key,location,keywords,description,named_persons,rights,creation_date,ingest_date,latitude,longitude,format,source,order,layout,thumbnail,full,manifest,collection
00001cc,Leadville,leadville,"Leadville (Colo.), Harrison Avenue","Buildings, Businesses, Lake County Courthouse","Harrison Avenue, looking south, c. 1920, Leadville. A view looking south from the 600 block of Harrison Avenue in Leadville, Colorado, showing two and three story brick and wood frame clapboard buildings with pedestrians walking on concrete pavement. Buildings that can be seen include the old Lake County Courthouse with Lady Justice and her scales and the American National Bank with its corner tower dome.",,This photo is property of Lake County Civic Center Association.,1920,2020-10-06,39.24915,-106.29199,Photo,Scanned Negative,0,cmhc_item,"/img/derivatives/iiif/images/00001cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00001cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00001cc/manifest.json,cmhc
00002cc,Mining,mining,"Box Creek, Derry Ranch, Lake County (Colo.)","Dredges, Derry Ranch, Mining, Placer, People","Derry gold dredge, Box Creek, c. 1920",,This photo is property of Lake County Civic Center Association.,1920,2020-10-06,,,Photo,Scanned Negative,1,cmhc_item,"/img/derivatives/iiif/images/00002cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00002cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00002cc/manifest.json,cmhc
00011cc,Mining,mining,"Lake County (Colo.), Upper Halfmoon Gulch","Mills, Mining","Mt. Champion Mill, Upper Half Moon Gulch, c. 1920",,This photo is property of Lake County Civic Center Association.,1920,2020-10-06,39.12556,-106.51861,Photo,Scanned Negative,10,cmhc_item,"/img/derivatives/iiif/images/00011cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00011cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00011cc/manifest.json,cmhc
00102cc,People,people,Denver (Colo.),"People, Women, Children","Margaret (Boehmer) McLister and son, Henry McLister (Rose & Hopkins photo) (Frank McLister collection)","Margaret Boehmer McLister, Henry McLister",This photo is property of Lake County Civic Center Association.,,2021-01-13,,,Photo,Scanned Negative,100,cmhc_item,"/img/derivatives/iiif/images/00102cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00102cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00102cc/manifest.json,cmhc
01067cc,People,people,"Lake County (Colo.), Tennessee Creek","People, Men, Recreation",Unidentified man fishing on Tennessee Creek,,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1000,cmhc_item,"/img/derivatives/iiif/images/01067cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01067cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01067cc/manifest.json,cmhc
01068cc,Climax,climax,Climax (Colo.),"Mining, Buildings, Climax Molybdenum Company","Climax, Colorado ",,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.36832,-106.18744,Photo,Scanned Negative,1001,cmhc_item,"/img/derivatives/iiif/images/01068cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01068cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01068cc/manifest.json,cmhc
01069cc,People,people,Leadville (Colo.),"People, Women, Children, School","Oro City School group, April, 1918 ",,This photo is property of Lake County Civic Center Association.,4/1918,2021-03-30,39.2364,-106.27208,Photo,Scanned Negative,1002,cmhc_item,"/img/derivatives/iiif/images/01069cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01069cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01069cc/manifest.json,cmhc
01070cc,People,people,,"People, Women, Men",Two unidentified women and an unidentified man amidst the snow (Ruth Johnson collection),,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1003,cmhc_item,"/img/derivatives/iiif/images/01070cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01070cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01070cc/manifest.json,cmhc
01071cc,People,people,Leadville (Colo.),"People, Women, Children, Recreation, Churches","St. George's choir, midsummer 1911, 412 W. 4th Street, Agnes Slusher in front (Ruth Johnson collection)",Agnes (Johnson) Slusher,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.24618,-106.29734,Photo,Scanned Negative,1004,cmhc_item,"/img/derivatives/iiif/images/01071cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01071cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01071cc/manifest.json,cmhc
01072cc,People,people,Leadville (Colo.),"People, Women, Children, Recreation, Churches","Building on Harrison Avenue, St. George's choir (Ruth Johnson collection)",,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1005,cmhc_item,"/img/derivatives/iiif/images/01072cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01072cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01072cc/manifest.json,cmhc
01073cc,People,people,Leadville (Colo.),"People, Women, Children, Houses","Inger Lena, Herb Johnson, Clara Johnson, Agnes Johnson Slusher, summer 1909, 400 block of West 2nd looking south (Ruth Johnson collection)","Inger Lena, Herb Johnson, Clara Johnson, Agnes Johnson Slusher",This photo is property of Lake County Civic Center Association.,1909,2021-03-30,,,Photo,Scanned Negative,1006,cmhc_item,"/img/derivatives/iiif/images/01073cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01073cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01073cc/manifest.json,cmhc
01074cc,People,people,,"People, Children","Rick and Jay Johnson, 1947 (Ruth Johnson collection)","Rick Johnson, Jay Johnson",This photo is property of Lake County Civic Center Association.,1947,2021-03-30,,,Photo,Scanned Negative,1007,cmhc_item,"/img/derivatives/iiif/images/01074cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01074cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01074cc/manifest.json,cmhc
01075cc,People,people,Leadville (Colo.),"People, Men, Women","Otto and Myrtle (Saunders) Johnson, summer 1905 (Ruth Johnson collection)","Otto Johnson, Myrtle (Saunders) Johnson",This photo is property of Lake County Civic Center Association.,1905,2021-03-30,,,Photo,Scanned Negative,1008,cmhc_item,"/img/derivatives/iiif/images/01075cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01075cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01075cc/manifest.json,cmhc
01076cc,People,people,Leadville (Colo.),"People, Women, Houses","Unidentified women on a front porch, on possibly W. 6th Street (Ruth Johnson collection)",,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1009,cmhc_item,"/img/derivatives/iiif/images/01076cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01076cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01076cc/manifest.json,cmhc
00103cc,People,people,,"People, Men",Mr. Nash of Davis Drug store,Mr. Nash,This photo is property of Lake County Civic Center Association.,,2021-01-13,,,Photo,Scanned Negative,101,cmhc_item,"/img/derivatives/iiif/images/00103cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00103cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00103cc/manifest.json,cmhc
01077cc,People,people,,"People, Men, Women, Children",Unidentified family group (Ruth Johnson collection) ,,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1010,cmhc_item,"/img/derivatives/iiif/images/01077cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01077cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01077cc/manifest.json,cmhc
01078cc,People,people,,"People, Men, Recreation",Two unidentified men by a tent (Ruth Johnson collection),,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1011,cmhc_item,"/img/derivatives/iiif/images/01078cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01078cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01078cc/manifest.json,cmhc
01079cc,People,people,Leadville (Colo.),"People, Women, Buildings, Churches","Agnes (Johnson) Slusher, in front of St. George's Church, 1914 (Ruth Johnson collection)",Agnes (Johnson) Slusher,This photo is property of Lake County Civic Center Association.,1914,2021-03-30,39.24665,-106.29371,Photo,Scanned Negative,1012,cmhc_item,"/img/derivatives/iiif/images/01079cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01079cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01079cc/manifest.json,cmhc
01080cc,People,people,Leadville (Colo.),"People, Women, Recreation, Churches","Agnes (Johnson) Slusher, St. George's Choir, 1914 (Ruth Johnson collection)",Agnes (Johnson) Slusher,This photo is property of Lake County Civic Center Association.,1914,2021-03-30,,,Photo,Scanned Negative,1013,cmhc_item,"/img/derivatives/iiif/images/01080cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01080cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01080cc/manifest.json,cmhc
01081cc,People,people,Leadville (Colo.),"People, Men, Recreation, Churches","Herbert Johnson, St. George's choir boy, 1914 (Ruth Johnson collection)",Herbert Johnson,This photo is property of Lake County Civic Center Association.,1914,2021-03-30,,,Photo,Scanned Negative,1014,cmhc_item,"/img/derivatives/iiif/images/01081cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01081cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01081cc/manifest.json,cmhc
01082cc,People,people,,"People, Men, Women, Children","Henry Cerise, his wife Seconidine and their children","Henry Cerise, Seconidine Cerise",This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1015,cmhc_item,"/img/derivatives/iiif/images/01082cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01082cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01082cc/manifest.json,cmhc
01083cc,People,people,,"People, Men, Women, Children","Hebry Cerise (left), his wife Seconidine (seated) and family members (Ruth Johnson collection)","Henry Cerise, Seconidine Cerise",This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1016,cmhc_item,"/img/derivatives/iiif/images/01083cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01083cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01083cc/manifest.json,cmhc
01084cc,People,people,Leadville (Colo.),"People, Children",Frank Cerise (Schedin photo) (Ruth Johnson collection),Frank Cerise,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1017,cmhc_item,"/img/derivatives/iiif/images/01084cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01084cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01084cc/manifest.json,cmhc
01085cc,People,people,,"People, Women, Children, Photographers",Frances Cerise and unidentified lady in a confirmation dress (Schedin photo) (Ruth Johnson collection),Frances Cerise,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1018,cmhc_item,"/img/derivatives/iiif/images/01085cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01085cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01085cc/manifest.json,cmhc
01086cc,People,people,,"People, Men, Women, Children",Unidentified family (Ruth Johnson collection),,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1019,cmhc_item,"/img/derivatives/iiif/images/01086cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01086cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01086cc/manifest.json,cmhc
00104cc,People,people,,"People, Women",Blanche (McFerran) Trimble,Blanche (McFerran) Trimble,This photo is property of Lake County Civic Center Association.,,2021-01-13,,,Photo,Scanned Negative,102,cmhc_item,"/img/derivatives/iiif/images/00104cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00104cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00104cc/manifest.json,cmhc
01087cc,People,people,,"People, Children",Wally Cerise (Ruth Johnson collection),Wally Cerise,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1020,cmhc_item,"/img/derivatives/iiif/images/01087cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01087cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01087cc/manifest.json,cmhc
01088cc,Leadville,leadville,Leadville (Colo.),"People, Men, Women, Children, Houses, Horses","120 W. 4th Street, the A. V. Hunter home (Saindon collection)",A.V. Hunter,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.24714,-106.29237,Photo,Scanned Negative,1021,cmhc_item,"/img/derivatives/iiif/images/01088cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01088cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01088cc/manifest.json,cmhc
01089cc,Mining,mining,Leadville (Colo.),"People, Men, Children, Burros, Mining, Little Johnny Mine, Ceremonies","Harve Presnell, dedication of the plaque at Little Jonny mine (Saindon collection)",Harve Presnell,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.24583,-106.23278,Photo,Scanned Negative,1022,cmhc_item,"/img/derivatives/iiif/images/01089cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01089cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01089cc/manifest.json,cmhc
01090cc,People,people,,"People, Women, Children, School","School class, Mrs. George Frank's group, 1959~60 (Saindon collection)",Mrs. George Frank,This photo is property of Lake County Civic Center Association.,1959-60,2021-03-30,,,Photo,Scanned Negative,1023,cmhc_item,"/img/derivatives/iiif/images/01090cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01090cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01090cc/manifest.json,cmhc
01091cc,People,people,Leadville (Colo.),"People, Men, Women, Businesses, Interior",Old Timer's Day at J.C. Penney store in Leadville (Saindon collection),,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1024,cmhc_item,"/img/derivatives/iiif/images/01091cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01091cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01091cc/manifest.json,cmhc
01092cc,Buildings & Businesses,bandb,Leadville (Colo.),"Houses, Buildings",120 W. 4th Street before restoration (Saindon collection),,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.24714,-106.29237,Photo,Scanned Negative,1025,cmhc_item,"/img/derivatives/iiif/images/01092cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01092cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01092cc/manifest.json,cmhc
01093cc,Buildings & Businesses,bandb,Leadville (Colo.),"Houses, Buildings",120 W. 4th Street before restoration (Saindon collection),,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.24714,-106.29237,Photo,Scanned Negative,1026,cmhc_item,"/img/derivatives/iiif/images/01093cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01093cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01093cc/manifest.json,cmhc
01094cc,Buildings & Businesses,bandb,Leadville (Colo.),"Houses, Buildings",120 W. 4th Street before restoration (Saindon collection),,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.24714,-106.29237,Photo,Scanned Negative,1027,cmhc_item,"/img/derivatives/iiif/images/01094cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01094cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01094cc/manifest.json,cmhc
01095cc,Buildings & Businesses,bandb,Leadville (Colo.),"Houses, Buildings",120 W. 4th Street before restoration (Saindon collection),,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.24714,-106.29237,Photo,Scanned Negative,1028,cmhc_item,"/img/derivatives/iiif/images/01095cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01095cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01095cc/manifest.json,cmhc
01096cc,Buildings & Businesses,bandb,Leadville (Colo.),"Houses, Buildings",120 W. 4th Street before restoration (Saindon collection),,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.24714,-106.29237,Photo,Scanned Negative,1029,cmhc_item,"/img/derivatives/iiif/images/01096cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01096cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01096cc/manifest.json,cmhc
00105cc,Buildings & Businesses,bandb,,"Buildings, Houses, Snow",Unidentified house in snow,,This photo is property of Lake County Civic Center Association.,,2021-01-13,,,Photo,Scanned Negative,103,cmhc_item,"/img/derivatives/iiif/images/00105cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00105cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00105cc/manifest.json,cmhc
01097cc,Buildings & Businesses,bandb,Leadville (Colo.),"Houses, Buildings",120 W. 4th Street before restoration (Saindon collection),,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.24714,-106.29237,Photo,Scanned Negative,1030,cmhc_item,"/img/derivatives/iiif/images/01097cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01097cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01097cc/manifest.json,cmhc
01098cc,People,people,,"People, Men, Recreation",Frenchie Saindon and a mackinaw trout (Saindon collection),Frenchie Saindon,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1031,cmhc_item,"/img/derivatives/iiif/images/01098cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01098cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01098cc/manifest.json,cmhc
01099cc,People,people,,"People, Men, Women, Children","Harvey Copper, Frances Copper, Bill Copper, and John Copper, woman seated unidentified (Saindon collection)","Harvey Copper, Frances Copper, Bill Copper, John Copper",This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1032,cmhc_item,"/img/derivatives/iiif/images/01099cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01099cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01099cc/manifest.json,cmhc
01100cc,People,people,Leadville (Colo.),"People, Women, Ceremonies","Francis Saindon, in costume, at Healy House dedication (Saindon collection)",Francis Saindon,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.25197,-106.29264,Photo,Scanned Negative,1033,cmhc_item,"/img/derivatives/iiif/images/01100cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01100cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01100cc/manifest.json,cmhc
01101cc,People,people,,"People, Women",Francis Saindon's graduation photo (Saindon collection) ,Francis Saindon,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1034,cmhc_item,"/img/derivatives/iiif/images/01101cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01101cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01101cc/manifest.json,cmhc
01102cc,Leadville,leadville,Leadville (Colo.),"Buildings, People, Men, Snow Plow",Caterpillar and snow in Leadville (Saindon collection),,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1035,cmhc_item,"/img/derivatives/iiif/images/01102cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01102cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01102cc/manifest.json,cmhc
01103cc,People,people,Hagerman Pass (Colo.),"People, Men, Automobiles, Recreation",Unidentified man and vehicles on road to Carleton (Ivanhoe-Busk) Tunnel (Saindon collection),,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1036,cmhc_item,"/img/derivatives/iiif/images/01103cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01103cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01103cc/manifest.json,cmhc
01104cc,Leadville,leadville,Leadville (Colo.),"People, Men, Snow Plow, Houses, Snow",Caterpillar and snow in Leadville (Saindon collection),,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1037,cmhc_item,"/img/derivatives/iiif/images/01104cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01104cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01104cc/manifest.json,cmhc
01105cc,Leadville,leadville,Hagerman Pass (Colo.),"Automobiles, Mountains, Road",Auto and snow on road to Hagerman Pass (Saindon collection),,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1038,cmhc_item,"/img/derivatives/iiif/images/01105cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01105cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01105cc/manifest.json,cmhc
01106cc,People,people,,"People, Women, Children, Houses, Animal",Unidentified people and Francis Copper with a puppy (Saindon collection),Francis Copper,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1039,cmhc_item,"/img/derivatives/iiif/images/01106cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01106cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01106cc/manifest.json,cmhc
00106cc,People,people,,"People, Women","Two unidentified women among trees, June 24, 1900",,This photo is property of Lake County Civic Center Association.,06/24/1900,2021-01-13,,,Photo,Scanned Negative,104,cmhc_item,"/img/derivatives/iiif/images/00106cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00106cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00106cc/manifest.json,cmhc
01107cc,People,people,Hagerman Pass (Colo.),"People, Men, Children, Recreation","Nina Fay and Harvey Copper with fish, near Carleton Tunnel (Saindon collection)","Nina Fay, Harvey Copper",This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1040,cmhc_item,"/img/derivatives/iiif/images/01107cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01107cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01107cc/manifest.json,cmhc
01108cc,Mining,mining,"California Gulch (Lake County, Colo.), Leadville (Colo.)","People, Men, Miners, Yak Tunnel","Miners at Yak mine, 2nd row 2nd from r. Nat Hodak (Prince collection)",Nat Hodak,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.23616,-106.27028,Photo,Scanned Negative,1041,cmhc_item,"/img/derivatives/iiif/images/01108cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01108cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01108cc/manifest.json,cmhc
01109cc,Mining,mining,"California Gulch (Lake County, Colo.), Leadville (Colo.)","People, Men, Businesses, Interior","Nat Kodak, blacksmith, and two other men in Yak Mine shop (Saindon collection)",Nat Kodak,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.23616,-106.27028,Photo,Scanned Negative,1042,cmhc_item,"/img/derivatives/iiif/images/01109cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01109cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01109cc/manifest.json,cmhc
01110cc,Buildings & Businesses,bandb,Leadville (Colo.),"Buildings, Businesses, People, Men, Wagons","Del Simon and other men in front of Whiting & Simon Livery & Carriage Works, 307, 309, & 313 W. Chestnut Street (Prince collection)",Del Simon,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.24356,-106.29438,Photo,Scanned Negative,1043,cmhc_item,"/img/derivatives/iiif/images/01110cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01110cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01110cc/manifest.json,cmhc
01111cc,Railroad Images,rail,Hagerman Pass (Colo.),"People, Men, Colorado Midland Railway Company, Locomotives","Plowing Snow through Hagerman Pass on the Colorado Midland Railway near Leadville, Cook's Snow Birds, (Prince collection)",,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1044,cmhc_item,"/img/derivatives/iiif/images/01111cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01111cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01111cc/manifest.json,cmhc
01112cc,People,people,,"People, Men",Emil Caccialupi and Julius Caccialupi (Rosemary Prince's Grande collection ),"Emil Caccialupi, Julius Caccialupi",This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1045,cmhc_item,"/img/derivatives/iiif/images/01112cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01112cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01112cc/manifest.json,cmhc
01113cc,People,people,,"People, Men, Women",Mr. and Mrs. Tuotte (Rosemary Prince's great-great-grand-parents) (Prince collection),"Mr Tuotte, Mrs Tuotte",This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1046,cmhc_item,"/img/derivatives/iiif/images/01113cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01113cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01113cc/manifest.json,cmhc
01114cc,People,people,,"People, Men, Women, Children, Houses, Burros","Tuotte family, 132 St. Louis Avenue (Prince collection)",Tuotte family,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1047,cmhc_item,"/img/derivatives/iiif/images/01114cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01114cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01114cc/manifest.json,cmhc
01115cc,People,people,Leadville (Colo.),"People, Women, Buildings","Amy (Tuotte) Gay, 133 or 135 Chestnut (Prince collection)",Amy (Tuotte) Gay,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.24418,-106.29196,Photo,Scanned Negative,1048,cmhc_item,"/img/derivatives/iiif/images/01115cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01115cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01115cc/manifest.json,cmhc
01116cc,People,people,"Lake County (Colo.), St. Kevin","People, Men, Women, Children, Animals",Tuotte family in St. Kevin (Prince collection),Tuotte family,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1049,cmhc_item,"/img/derivatives/iiif/images/01116cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01116cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01116cc/manifest.json,cmhc
00107cc,People,people,Twin Lakes (Colo.),"People, Men, Automoblies","Mr. Davies and son in a model T at Twin Lakes, Colorado",Mr. Davies,This photo is property of Lake County Civic Center Association.,,2021-01-13,,,Photo,Scanned Negative,105,cmhc_item,"/img/derivatives/iiif/images/00107cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00107cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00107cc/manifest.json,cmhc
01117cc,People,people,"Lake County (Colo.), St. Kevin","People, Men, Women, Children",Tuotte family in St. Kevin (Prince collection),Tuotte family,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1050,cmhc_item,"/img/derivatives/iiif/images/01117cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01117cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01117cc/manifest.json,cmhc
01118cc,People,people,"Lake County (Colo.), St. Kevin","People, Men, Women, Children",Tuotte family in St. Kevin (Prince collection),Tuotte family,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1051,cmhc_item,"/img/derivatives/iiif/images/01118cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01118cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01118cc/manifest.json,cmhc
01119cc,People,people,Stringtown (Colo.),"People, Men, Women, Children","LaBelle family in Stringtown, below the smelter (Prince collection)",Labelle Family,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1052,cmhc_item,"/img/derivatives/iiif/images/01119cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01119cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01119cc/manifest.json,cmhc
01120cc,People,people,,"People, Men, Women, Children",Unidentified group (Prince collection),,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1053,cmhc_item,"/img/derivatives/iiif/images/01120cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01120cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01120cc/manifest.json,cmhc
