pid,label,key,location,keywords,description,named_persons,rights,creation_date,ingest_date,latitude,longitude,format,source,order,layout,thumbnail,full,manifest,collection
01213cc,People,people,Leadville (Colo.),"People, Men",Horace Tabor (Tabor home),Horace Tabor,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1140,cmhc_item,"/img/derivatives/iiif/images/01213cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01213cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01213cc/manifest.json,cmhc
01214cc,People,people,Leadville (Colo.),"People, Women","Augusta (Pierce) Tabor, from oil portrait (Tabor home)",Augusta (Pierce) Tabor,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1141,cmhc_item,"/img/derivatives/iiif/images/01214cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01214cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01214cc/manifest.json,cmhc
01215cc,People,people,Leadville (Colo.),"People, Men","Henry Tabor, stone cutter, Horace Tabor's brother (Tabor home)",Henry Tabor,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1142,cmhc_item,"/img/derivatives/iiif/images/01215cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01215cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01215cc/manifest.json,cmhc
01216cc,People,people,Leadville (Colo.),"People, Men",Uncle Lem Tabor (Tabor home),Lemuel Tabor,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1143,cmhc_item,"/img/derivatives/iiif/images/01216cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01216cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01216cc/manifest.json,cmhc
01217cc,People,people,Leadville (Colo.),"People, Men","Cornelius Tabor, Horace Tabor's father (Tabor home)",Cornelius Tabor,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1144,cmhc_item,"/img/derivatives/iiif/images/01217cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01217cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01217cc/manifest.json,cmhc
01218cc,People,people,Leadville (Colo.),"People, Women","Sarah (Ferrin) Tabor, Horace Tabor's mother (Tabor home)",Sarah (Ferrin) Tabor,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1145,cmhc_item,"/img/derivatives/iiif/images/01218cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01218cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01218cc/manifest.json,cmhc
01219cc,People,people,Leadville (Colo.),"People, Children","Nathanial Maxcy Tabor, son of Horace & Augusta Tabor (Tabor home)",Nathanial Maxcy Tabor,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1146,cmhc_item,"/img/derivatives/iiif/images/01219cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01219cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01219cc/manifest.json,cmhc
01221cc,People,people,Leadville (Colo.),"People, Men",August Rische (Tabor home),August Rische,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1147,cmhc_item,"/img/derivatives/iiif/images/01221cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01221cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01221cc/manifest.json,cmhc
01222cc,Mining,mining,"Leadville (Colo.), Fryer Hill","Mining, People, Miners","The ""Little Pittsburg Mine"" (Tabor home)",,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.25618,-106.27511,Photo,Scanned Negative,1148,cmhc_item,"/img/derivatives/iiif/images/01222cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01222cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01222cc/manifest.json,cmhc
01223cc,Mining,mining,"Leadville (Colo.), Fryer Hill","Mining, Buildings","The ""Little Pittsburg Mine"" (Tabor home)",,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.25618,-106.27511,Photo,Scanned Negative,1149,cmhc_item,"/img/derivatives/iiif/images/01223cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01223cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01223cc/manifest.json,cmhc
