pid,label,location,keywords,caption,named_persons,credit,_date,object_type,current_location,source,order,layout,collection,thumbnail,full,manifest
00117cc,Photos,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Stray Horse Gulch, Mt. Elbert, Mt. Massive, Carbonate Hill, East Fifth Street, E. 5th St.","Lower Stray Horse Gulch, c. 1920.  Robert Emmett  mine in foreground, Wolftone in line with Mt. Elbert",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,16,photos_item,docs,"/img/derivatives/iiif/images/00117cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00117cc/full/full/0/default.jpg,/img/derivatives/iiif/00117cc/manifest.json
00118cc,Photos,Leadville,"Leadville, Lake County, Zinc, Smelter","Western Zinc Oxide Smelting Co., west edge of Leadville, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,17,photos_item,docs,"/img/derivatives/iiif/images/00118cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00118cc/full/full/0/default.jpg,/img/derivatives/iiif/00118cc/manifest.json
00119cc,Photos,Leadville,"Leadville, Lake County, Arkansas Valley Smelter, Stringtown, Smelter","Arkansas Valley Smelter, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,18,photos_item,docs,"/img/derivatives/iiif/images/00119cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00119cc/full/full/0/default.jpg,/img/derivatives/iiif/00119cc/manifest.json
