pid,label,location,keywords,caption,named_persons,credit,_date,object_type,current_location,source,order,layout,collection,thumbnail,full,manifest
00008cc,Leadville,Leadville,"Leadville, Lake County, Mining, Man, Burros, Mules, Horses, Wagon, Gold","Ore team from Mt. Champion mine, Upper Half Moon Gulch, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,7,leadville_item,cemetery,"/img/derivatives/iiif/images/00008cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00008cc/full/full/0/default.jpg,/img/derivatives/iiif/00008cc/manifest.json
00009cc,Leadville,Leadville,"Leadville, Lake County, Harrison Avenue, Men, Businesses, Wagon, Leadville (city)","Harrison Avenue, looking north, c. 1879, Leadville",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,8,leadville_item,cemetery,"/img/derivatives/iiif/images/00009cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00009cc/full/full/0/default.jpg,/img/derivatives/iiif/00009cc/manifest.json
00010cc,Leadville,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Downtown Mines, Penrose Mine","Penrose Shaft, Downtown mines, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,9,leadville_item,cemetery,"/img/derivatives/iiif/images/00010cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00010cc/full/full/0/default.jpg,/img/derivatives/iiif/00010cc/manifest.json
