pid,label,location,keywords,caption,named_persons,credit,_date,object_type,current_location,source,order,layout,collection,thumbnail,full,manifest
00114cc,Photos,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Ninth Street School, St. Mary's School, Houses, Carbonate Hill, East Side, Smelter, Downtown Mines, Leadville (city)","View from Carbonate Hill, looking west, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,13,photos_item,maps,"/img/derivatives/iiif/images/00114cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00114cc/full/full/0/default.jpg,/img/derivatives/iiif/00114cc/manifest.json
00115cc,Photos,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Graham Park","Wolftone mine, north end Graham Park, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,14,photos_item,maps,"/img/derivatives/iiif/images/00115cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00115cc/full/full/0/default.jpg,/img/derivatives/iiif/00115cc/manifest.json
00116cc,Photos,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Iron Hill, California Gulch, Yak Tunnel","Yak Mining, Milling & Tunnel Co. surface plant, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,15,photos_item,maps,"/img/derivatives/iiif/images/00116cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00116cc/full/full/0/default.jpg,/img/derivatives/iiif/00116cc/manifest.json
