pid,label,location,keywords,caption,named_persons,credit,_date,object_type,current_location,source,order,layout,collection,thumbnail,full,manifest
00016cc,Leadville,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Iron Hill, California Gulch, Yak Tunnel","Yak Mining, Milling & Tunnel Co. surface plant, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,15,leadville_item,tabors,"/img/derivatives/iiif/images/00016cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00016cc/full/full/0/default.jpg,/img/derivatives/iiif/00016cc/manifest.json
00017cc,Leadville,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Stray Horse Gulch, Mt. Elbert, Mt. Massive, Carbonate Hill, East Fifth Street, E. 5th St.","Lower Stray Horse Gulch, c. 1920.  Robert Emmett  mine in foreground, Wolftone in line with Mt. Elbert",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,16,leadville_item,tabors,"/img/derivatives/iiif/images/00017cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00017cc/full/full/0/default.jpg,/img/derivatives/iiif/00017cc/manifest.json
00018cc,Leadville,Leadville,"Leadville, Lake County, Zinc, Smelter","Western Zinc Oxide Smelting Co., west edge of Leadville, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,17,leadville_item,tabors,"/img/derivatives/iiif/images/00018cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00018cc/full/full/0/default.jpg,/img/derivatives/iiif/00018cc/manifest.json
