pid,label,location,keywords,caption,named_persons,credit,_date,object_type,current_location,source,order,layout,collection,thumbnail,full,manifest
00108cc,Photos,Leadville,"Leadville, Lake County, Mining, Man, Burros, Mules, Horses, Wagon, Gold","Ore team from Mt. Champion mine, Upper Half Moon Gulch, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,7,photos_item,school,"/img/derivatives/iiif/images/00108cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00108cc/full/full/0/default.jpg,/img/derivatives/iiif/00108cc/manifest.json
00109cc,Photos,Leadville,"Leadville, Lake County, Harrison Avenue, Men, Businesses, Wagon, Leadville (city)","Harrison Avenue, looking north, c. 1879, Leadville",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,8,photos_item,school,"/img/derivatives/iiif/images/00109cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00109cc/full/full/0/default.jpg,/img/derivatives/iiif/00109cc/manifest.json
00110cc,Photos,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Downtown Mines, Penrose Mine","Penrose Shaft, Downtown mines, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,9,photos_item,school,"/img/derivatives/iiif/images/00110cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00110cc/full/full/0/default.jpg,/img/derivatives/iiif/00110cc/manifest.json
