pid,label,location,keywords,caption,named_persons,credit,_date,object_type,current_location,source,order,layout,collection,thumbnail,full,manifest
00120cc,Photos,Leadville,"Leadville, Gold","Hydraulic mining in California Gulch in the Early Days, c. 1879",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,19,photos_item,climax,"/img/derivatives/iiif/images/00120cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00120cc/full/full/0/default.jpg,/img/derivatives/iiif/00120cc/manifest.json
00103cc,Photos,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Breece Hill, Gold, Jonny Hill, Ibex Mining Company","Little Jonny mine, Ibex Mining Co. Idaho Park, c. 1920",Bill,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,2,photos_item,climax,"/img/derivatives/iiif/images/00103cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00103cc/full/full/0/default.jpg,/img/derivatives/iiif/00103cc/manifest.json
00104cc,Photos,Leadville,"Leadville, Lake County, Gold, Assayer","Two gold bricks on scale pan, worth $3, 734, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,3,photos_item,climax,"/img/derivatives/iiif/images/00104cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00104cc/full/full/0/default.jpg,/img/derivatives/iiif/00104cc/manifest.json
