pid,label,location,keywords,caption,named_persons,credit,_date,object_type,current_location,source,order,layout,collection,thumbnail,full,manifest
00019cc,Leadville,Leadville,"Leadville, Lake County, Arkansas Valley Smelter, Stringtown, Smelter","Arkansas Valley Smelter, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,18,leadville_item,hale,"/img/derivatives/iiif/images/00019cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00019cc/full/full/0/default.jpg,/img/derivatives/iiif/00019cc/manifest.json
00020cc,Leadville,Leadville,"Leadville, Gold","Hydraulic mining in California Gulch in the Early Days, c. 1879",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,19,leadville_item,hale,"/img/derivatives/iiif/images/00020cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00020cc/full/full/0/default.jpg,/img/derivatives/iiif/00020cc/manifest.json
00003cc,Leadville,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Breece Hill, Gold, Jonny Hill, Ibex Mining Company","Little Jonny mine, Ibex Mining Co. Idaho Park, c. 1920",Bill,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,2,leadville_item,hale,"/img/derivatives/iiif/images/00003cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00003cc/full/full/0/default.jpg,/img/derivatives/iiif/00003cc/manifest.json
