pid,label,location,keywords,caption,named_persons,credit,_date,object_type,current_location,source,order,layout,collection,thumbnail,full,manifest
00105cc,Photos,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Graham Park","Mikado mine, Greenback left, WolfTone in background, Northern end of Graham Park, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,4,photos_item,brisbois,"/img/derivatives/iiif/images/00105cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00105cc/full/full/0/default.jpg,/img/derivatives/iiif/00105cc/manifest.json
00106cc,Photos,Leadville,"Leadville, Lake County, Mine, Mining, Miners, Men, Unidentified","Interior working of mine, c. 1920Davis Drug Co.",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,5,photos_item,brisbois,"/img/derivatives/iiif/images/00106cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00106cc/full/full/0/default.jpg,/img/derivatives/iiif/00106cc/manifest.json
00107cc,Photos,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Breece Hill, Gold","Garbutt mine, Idaho Park, c. 1920(located near the Ibex group)",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Lake County Library,Scanned Negative,6,photos_item,brisbois,"/img/derivatives/iiif/images/00107cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00107cc/full/full/0/default.jpg,/img/derivatives/iiif/00107cc/manifest.json
