pid,label,key,location,keywords,description,named_persons,rights,creation_date,ingest_date,latitude,longitude,format,source,order,layout,thumbnail,full,manifest,collection
01475pl,Climax,climax,Climax (Colo.),"People, Men, Mining, Interiors, Climax Molybdenum Compnay","Climax Molybdenum Company, ""Taking-a-5 in a corner of 370 powder magazine underground"", circa 1940",,This photo is property of Lake County Public Library.,c. 1940,2021-04-06,39.36832,-106.18744,Photo,Scanned Photo,3987,cmhc_item,"/img/derivatives/iiif/images/01475pl/full/250,/0/default.jpg","/img/derivatives/iiif/images/01475pl/full/1140,/0/default.jpg",/img/derivatives/iiif/01475pl/manifest.json,cmhc
00852pl,Buildings & Businesses,bandb,Leadville (Colo.),"Buildings, Schools",Leadville High School (Donated by John and Mary Smith),,This photo is property of Lake County Public Library.,,2021-04-06,39.25141,-106.29404,Photo,Scanned Photo,3404,cmhc_item,"/img/derivatives/iiif/images/00852pl/full/250,/0/default.jpg","/img/derivatives/iiif/images/00852pl/full/1140,/0/default.jpg",/img/derivatives/iiif/00852pl/manifest.json,cmhc
01644cc,Documents & Objects,docs,Leadville (Colo.),Objects,Tokens from J. E. Kekar Saloon (was on the corner of 6th Street and Harrison Avenue) in Leadville ,,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1525,cmhc_item,"/img/derivatives/iiif/images/01644cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01644cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01644cc/manifest.json,cmhc
00001cc,Leadville,leadville,"Leadville (Colo.), Harrison Avenue","Buildings, Businesses, Lake County Courthouse","Harrison Avenue, looking south, c. 1920, Leadville. A view looking south from the 600 block of Harrison Avenue in Leadville, Colorado, showing two and three story brick and wood frame clapboard buildings with pedestrians walking on concrete pavement. Buildings that can be seen include the old Lake County Courthouse with Lady Justice and her scales and the American National Bank with its corner tower dome.",,This photo is property of Lake County Civic Center Association.,1920,2020-10-06,39.24915,-106.29199,Photo,Scanned Negative,0,cmhc_item,"/img/derivatives/iiif/images/00001cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00001cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00001cc/manifest.json,cmhc
00273cc,Mining,mining,"Leadville (Colo.), Iron Hill","Mining, People, Men, Women, Iron Hill, Interiors",Unidentified men & women in a mine on Iron Hill,,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.24145,-106.26225,Photo,Scanned Negative,263,cmhc_item,"/img/derivatives/iiif/images/00273cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00273cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00273cc/manifest.json,cmhc
00034cc,Outside Lake County,outside,Buena Vista (Colo.),"Mt. Princeton, Buildings","Buena Vista, Colorado",,This photo is property of Lake County Civic Center Association.,,2020-10-06,,,Photo,Scanned Negative,33,cmhc_item,"/img/derivatives/iiif/images/00034cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00034cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00034cc/manifest.json,cmhc
00113cc,People,people,,"People, Men","Two unidentified men, February of 1875 ",,This photo is property of Lake County Civic Center Association.,1875-02,2021-01-13,,,Photo,Scanned Negative,111,cmhc_item,"/img/derivatives/iiif/images/00113cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00113cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00113cc/manifest.json,cmhc
00493cc,Railroad Images,rail,Teller County (Colo.),"Locomotives, Railroads","""Traveling Through the Mountains by Moonlight in Colorado"" Cripple Creek Short line ",,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,476,cmhc_item,"/img/derivatives/iiif/images/00493cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00493cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00493cc/manifest.json,cmhc
01576cc,Twin Lakes,twin,Twin Lakes (Colo.),"Mountains, Lakes, Twin Lakes","Looking north across area between Lakes, from Arlington Ditch (Ryan collection)",,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1469,cmhc_item,"/img/derivatives/iiif/images/01576cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01576cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01576cc/manifest.json,cmhc
